Block,Number,reading subset,recall subset,condition,trial type,task,fixa,clue,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,Question1,Question2,Question3,trial_pres_num,fixa1_onset,fixa1_durat,clue_onset,clue_durat,task_onset,task_durat,word1_onset,word2_onset,word3_onset,word4_onset,word5_onset,word6_onset,word7_onset,word8_onset,word9_onset,word10_onset,word11_onset,word12_onset,word13_onset,word14_onset,word15_onset,word_time,fixa2_onset,fixa2_durat,question1_onset,question1_offset,rating1,rating1_RT,question2_onset,question2_offset,rating2,rating2_RT,question3_onset,question3_offset,rating3,rating3_RT,ori_press_word,press_word,press_word_offset,RT,correct,KeyPress
1,2,2,,pure reading ,formal trial,reading,+,xxxxx,Emotions,are,thought,to result,from,evolution,because,they,provided,good,solutions to,the problems,that our,ancestors,faced.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,1,0.052551899978425354,2.15,2.2077866999898106,2,4.204710400023032,1,5.199084599968046,5.803796400025021,6.4011340999859385,6.99814179999521,7.602415499975905,8.199937099998351,8.804017600021325,9.401203199988231,9.998461899987888,10.60247729998082,11.19853419996798,11.804187599977013,12.402890699973796,12.998113100009505,13.602705399971455,0.6,14.20014169998467,2.93,17.124223899969365,21.151254799973685,4,4.026,21.15231069998117,25.191447400022298,4,4.038,25.192181700025685,29.219876300019678,4,4.027,,,,,,
1,49,49,25,conflict recall,formal trial,memory recall,+,hug,For,home,"storage,",apples,can be,held for,approximately,two,weeks,when,kept in,the coolest,part of,the,refrigerator.,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,2,29.27615109999897,3.0,32.27509509999072,2,34.27674110000953,1,35.27605190000031,35.875021199986804,36.47834919998422,37.075943499978166,37.672256399993785,38.277615399973,38.875634199997876,39.477802200010046,40.074965599982534,40.6730147000053,41.27490730001591,41.87421229999745,42.47746640001424,43.074663800012786,43.67296619998524,0.6,44.27609190001385,1.58,45.84782229998382,49.8744796999963,4,4.025,49.8753242000239,53.9099899000139,4,4.033,53.91086439997889,57.95206949999556,4,4.04,,,,,,
1,74,,50,pure recall,formal trial,memory recall,+,street,xxxxxxxx,xxx,xxxxxxx,xx xxxxxx,xxxx,xxxxxxxxx,xxxxxxx,xxxx,xxxxxxxx,xxxx,xxxxxxxxx xx,xxx xxxxxxxx,xxxx xxx,xxxxxxxxx,xxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,3,57.99222239997471,1.95,59.94473220000509,2,61.94587340002181,1,62.945025000022724,63.541411700018216,64.13751859997865,64.7674397000228,65.33790589997079,65.94342789996881,66.54029309999896,67.13820159999887,67.7420715999906,68.33991839998635,68.95019479998155,69.54221490002237,70.1379966000095,70.74297030002344,71.33875539997825,0.6,71.94365879998077,1.77,73.70389489998342,77.74456899997313,4,4.039,77.74549070000648,81.78537619998679,4,4.039,81.78622190002352,85.82627259998117,4,4.039,,,,,,
1,22,22,,pure reading ,catch trial,reading,+,xxxx,In many,"countries,",driving,a truck,requires,a special,driving,"license, the",requirements,and,limitations,vary,with,each,jurisdiction.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,4,85.87139970000135,1.15,87.02176009997493,2,89.02098069997737,1,90.02369579998776,90.61793970002327,91.22229080001125,91.81919960002415,92.4163574000122,93.0206637000083,93.61905610002577,94.22118669998599,94.81942549999803,95.41825579997385,96.02098490000935,96.61798819998512,97.22227039997233,97.81976039998699,98.41888259997359,0.6,99.02087940002093,1.13,100.14307240000926,104.17394850001438,4,4.029,104.1747135000187,108.21515389997512,4,4.039,108.21601969999028,112.24897219997365,4,4.032,limitations,,,,,
1,100,,,letter string,formal trial,xxxxxxxx,+,xxxxx,xxxxxxx,xxx,xxxx xx,x xxxxx,xxxxxx xx,xxxxxx,xxx,xxxxxxxxx,xxxxxxxxx xx,xxx xxxxxxxx,xxxxxxxxxxx,xxxx xx,xxxxxxx,xxx,xxxxxxxx,,,,5,112.27073910000036,2.62,114.8895505000255,2,116.89027909998549,1,117.88874480000231,118.48606169997947,119.09338989999378,119.6893755000201,120.29126849997556,120.88895930000581,121.48650669999188,122.09073029999854,122.68730559997493,123.29155199998058,123.8895037000184,124.48599640000612,125.09103619999951,125.68844699999318,126.29239690001123,0.6,,,,,,,,,,,,,,,,,,,,
1,26,26,1,conflict reading,formal trial,reading,+,door,Brain,tissue,consumes,a large,amount of,energy in,proportion to,"its volume,",so large,brains,place,severe,metabolic,demands on,animals.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,6,126.32705379999243,1.67,127.99607759999344,2,129.99651219998486,1,130.9963186000241,131.5981291999924,132.19506950001232,132.79349269997329,133.39653809997253,133.99683119996917,134.59986560000107,135.19601890002377,135.79326479998417,136.39633319998393,136.99409930000547,137.60036059998674,138.19538499996997,138.79287529998692,139.39625569997588,0.6,139.99472929997137,1.22,141.20872529997723,145.23702389997197,4,4.027,145.2379218999995,149.27278699999442,4,4.034,149.27360319998115,153.3062797000166,4,4.032,,,,,,
1,94,,70,pure recall,catch trial,memory recall,+,basket,xx xxxx,xxxxxxxxx,xxxxxxx,x xxxxx,xxxxxxxx,x xxxxxxx,xxxxxxx,xxxxxxx xxx,xxxxxxxxxxxx,xxx,xxxxxxxxxxx,xxxx,xxxx,xxxx,xxxxxxxxxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,7,153.34808199998224,1.77,155.1187610999914,2,157.1191000000108,1,158.11939449998317,158.7162946999888,159.3127370000002,159.92078829999082,160.51550270000007,161.11954949999927,161.71763510000892,162.31336239998927,162.92229459999362,163.51579129998572,164.11847220000345,164.71961580001516,165.31392569997115,165.92054109997116,166.51552549999906,0.6,167.12082760001067,2.18,169.28975180000998,173.3299507999909,4,4.038,173.330801300006,177.36314420000417,4,4.031,177.36397269996814,181.40572069998598,4,4.04,xxxxxxx,,,,,
1,73,,49,pure recall,formal trial,memory recall,+,relative,xxxxxxx,xxx xxxx,xxxx xxx,xxxxxxxxxxxxx,xx,xxxxxxx,xxxxxxxxxxxx,xxxxxx,xxxxx,xxx xxx,xxx xxxx,xxxxxxxx,xx xxx,xxxxxxxx,xxxxxxx,How well did you focus on the memory recall task?,How vivid was your memory?,How similar was it to your previously generated memory?,8,181.4460914999945,1.44,182.88465839996934,2,184.88711519999197,1,185.8840473999735,186.48132339998847,187.08582440001192,187.68282310001086,188.28708799998276,188.88446440000553,189.481294600002,190.08682869997574,190.68435280001722,191.28703529998893,191.88719570002286,192.48153230000753,193.08539670001483,193.69010140001774,194.28587349998998,0.6,194.88538360001985,1.78,196.65776239999104,200.68368030001875,4,4.024,200.68452890001936,204.7200196000049,4,4.034,204.72083230002318,208.75273210002342,4,4.031,,,,,,
1,46,46,22,conflict reading,catch trial,reading,+,popcorn,Professors,often,conduct,original,research,and may,mentor and,supervise,graduate,students,conducting,research for,a thesis,or,dissertation.,How well did you focus on the reading task?,How well did you comprehend this sentence?,How familiar were you with the reading content?,9,208.79502580000553,2.55,211.34357630001614,2,213.34436460002325,1,214.34194529999513,214.93940410000505,215.5466221999959,216.14034189999802,216.74598710000282,217.3432570999721,217.9397199000232,218.54530850000447,219.14020799996797,219.74610940000275,220.34327130002202,220.94026389997452,221.54627950000577,222.14039149996825,222.7454815999954,0.6,223.34247149998555,1.03,224.36669569998048,228.39825399999972,4,4.03,228.39915620000102,232.4272728000069,4,4.027,232.42816249997122,236.4680578999687,4,4.038,graduate,,,,,
1,98,,,letter string,formal trial,xxxxxxxx,+,xxxxx,xxxxx,xxxxxx,xxxxxxxx,x xxxxx,xxxxxx xx,xxxxxx xx,xxxxxxxxxx xx,xxx xxxxxx,xx xxxxx,xxxxxx,xxxxx,xxxxxx,xxxxxxxxx,xxxxxxx xx,xxxxxxx,,,,10,236.48997870000312,1.64,238.13080360001186,2,240.1269921999774,1,241.1271768999868,241.72530140000163,242.32962319999933,242.92683979996946,243.53145110001788,244.12863449996803,244.7263011999894,245.32866529998137,245.9289283999824,246.5328757999814,247.12739330000477,247.726977000013,248.32956719998037,248.9311003999901,249.5329801000189,0.6,,,,,,,,,,,,,,,,,,,,
